City,Latitude,Longitude,Population1,Population
Gandhidham,23.0718743,70.131715,24.7992,247992
Baranagar,22.6493438,88.3685302,24.5213,245213
Puducherry,10.9156489,79.8069488,24.4377,244377
Thoothukkudi,8.7567452,78.0797527,23.783,237830
Sikar,27.6624155,75.0279971,23.7532,237532
Rewa,24.756718,81.6549347,23.5654,235654
Raichur,16.083333,77.166667,23.4073,234073
Ramagundam,18.7615156,79.4787848,22.9644,229644
Hardwar,29.9384473,78.1452985,22.8832,228832
Vizianagaram,18.1120819,83.4052196,22.8025,228025
Katihar,25.5591001,87.647456,22.6261,226261
Nagercoil,8.1880471,77.4290492,22.4849,224849
Ganganagar,23.7497214,91.876635,22.4532,224532
Karawal Nagar,28.7311406,77.2747898,22.4281,224281
Thanjavur,10.7860267,79.1381497,22.2943,222943
Bulandshahr,28.3888609,77.9747977,22.2519,222519
Uluberia,22.4700318,88.1011108,22.224,222240
Murwara,23.8339621,80.392456,22.1883,221883
Sambhal,28.6187525,78.5508741,22.0813,220813
Singrauli,24.1974432,82.6661453,22.0257,220257
Nadiad,22.6895535,72.8713603,21.8095,218095
Secunderabad,17.4337246,78.5006827,21.791,217910
Naihati,22.8886213,88.4239345,21.79,217900
Yamunanagar,30.2112003,77.2863897,21.6677,216677
Bidhan Nagar,22.5912601,88.3909641,21.5514,215514
Pallavaram,12.9898157,80.1009865,21.5417,215417
Munger,25.2208117,86.5172037,21.3303,213303
Panchkula,30.7137692,76.868276,21.1355,211355
Burhanpur,26.2697215,82.9944254,21.0886,210886
Kharagpur,25.1331731,86.5250404,20.7604,207604
Dindigul,10.3303299,78.0673979,20.7327,207327
Gandhinagar,23.2232877,72.6492267,20.6167,206167
Hospet,15.266493,76.3872297,20.6167,206167
Nangloi Jat,28.6786,77.06749,20.5596,205596
English Bazar,24.9657123,88.1277781,20.5521,205521
Ongole,15.5075545,80.0608005,20.4746,204746
Eluru,17.015219,81.0804542,20.378,203780
Deoghar,24.4766423,86.6067325,20.3123,203123
Chapra,25.7733443,84.7849772,20.2352,202352
Haldia,22.028124,88.0632655,20.0827,200827
Khandwa,21.9778642,76.5688282,20.0738,200738
Nandyal,15.5248149,78.415171,20.0516,200516
Morena,26.166667,77.5,20.0482,200482
Amroha,28.9233969,78.4883169,19.8471,198471
Anand,22.5586555,72.9627227,19.8282,198282
Bhind,26.5,78.75,19.7585,197585
Madhyamgram,22.6947839,88.4530183,19.6127,196127
Bhiwani,28.7931703,76.1391283,19.6057,196057
Navi Mumbai Panvel Raigad,18.9909781,73.065553,19.5373,195373
Baharampur,24.1044927,88.2510635,19.5223,195223
Ambala,30.3843674,76.770421,19.5153,195153
Fatehpur,25.8435395,80.918004,19.3193,193193
Rae Bareli,26.25,81.25,19.1316,191316
Khora,28.626249,77.3465824,19.0005,190005
Bhusawal,20.9946183,75.8396297,18.7421,187421
Orai,25.9359555,79.4243277,18.7137,187137
Bahraich,27.7336958,81.4773213,18.6223,186223
Vellore,12.7948109,79.0006411,18.5803,185803
Mahesana,23.6015557,72.3867981,18.4991,184991
Khammam,17.5,80.333333,18.421,184210
Sambalpur,21.4706422,83.9836858,18.4,184000
Raiganj,25.6806539,88.1246458,18.3612,183612
Sirsa,29.583333,75.083333,18.2534,182534
Serampore,22.7549951,88.3416672,18.1842,181842
Guna,24.5,77.5,18.0935,180935
Jaunpur,25.7955927,82.488341,18.0362,180362
Panvel,18.9655888,73.1028813,18.002,180020
Shivpuri,25.5,78,17.9977,179977
Surendranagar Dudhrej,22.76132,71.62282,17.7851,177851
Unnao,26.5755037,80.6137618,17.7658,177658
Sitapur,27.5046392,80.8294658,17.7234,177234
Hastsal,28.6359648,77.0487636,17.6877,176877
Tambaram,12.9245279,80.1150525,17.4787,174787
Adityapur,22.7925423,86.0855185,17.4355,174355
Alappuzha,9.5006651,76.4124143,17.4176,174176
Cuddalore,11.7564329,79.7634644,17.3636,173636
Silchar,24.8178611,92.7562208,17.283,172830
Gadag and Betigeri,15.436994,75.669762,17.2612,172612
Bahadurgarh,28.6609648,76.8346765,17.0767,170767
Machilipatnam,16.1817369,81.1348181,16.9892,169892
Shimla,31.1041526,77.1709729,16.9578,169578
Medinipur,22.4207025,87.3269963,16.9264,169264
Deoli,20.6311175,78.3971713,16.9122,169122
Bharuch,21.75,73,16.9007,169007
Hoshiarpur,31.6085743,75.8464425,16.8653,168653
Jind,29.3018262,76.3384708,16.7592,167592
Chandannagar,22.8639237,88.3703496,16.6867,166867
Tonk,26.1647019,75.576596,16.5294,165294
Faizabad,26.6380755,82.0590243,16.5228,165228
Tenali,16.2377735,80.6464219,16.4937,164937
Alandur,13.0028216,80.1719186,16.443,164430
Kancheepuram,12.8796051,79.7042762,16.4384,164384
Vapi,20.3735482,72.9084376,16.363,163630
Rajnandgaon,21.0684424,80.7970779,16.3114,163114
Proddatur,14.7522659,78.5485518,16.2717,162717
Navsari,20.952407,72.9323831,16.0941,160941
Budaun,28.0683116,79.0460731,15.9285,159285
Uttarpara Kotrung,22.6675463,88.3437177,15.9147,159147
Mahbubnagar,16.7434538,77.9923191,15.7733,157733
Erode,11.3692044,77.6766269,15.7101,157101
Batala,31.8193025,75.1999941,15.6619,156619
Saharsa,25.8326416,86.6148928,15.654,156540
Vidisha,23.5225788,77.8148001,15.5951,155951
Thanesar,29.9930395,76.8292228,15.5152,155152
Kishangarh,26.5885585,74.861097,15.4886,154886
Veraval,20.9101099,70.365279,15.4636,154636
Chittoor,13.1601048,79.1555506,15.3756,153756
Krishnanagar,23.4058481,88.4958935,15.3062,153062
Lakhimpur,27.9850602,80.7538454,15.1993,151993
Santipur,23.2593459,88.4372121,15.1777,151777
Porbandar,21.6409,69.611,15.177,151770
Hindupur,13.8306127,77.492635,15.1677,151677
Balurghat,25.2634866,88.7890029,15.1416,151416
Bhadravati,20.1673903,79.2301936,15.1102,151102
Hanumangarh,29.5760254,74.3342203,15.0958,150958
Moga,30.7839866,75.1605742,15.0411,150411
Pathankot,32.2692452,75.6528858,14.8937,148937
Hajipur,25.7205805,85.2555596,14.7688,147688
Sasaram,24.9001003,84.0182111,14.7408,147408
Habra,22.8400629,88.6630678,14.7221,147221
Mohali,30.7041168,76.7176885,14.6213,146213
Beawar,26.0992137,74.3127044,14.5504,145504
Abohar,30.1450543,74.1956597,14.5302,145302
Tiruvannamalai,12.2271378,79.0701288,14.5278,145278
Jamuria,23.7279289,87.1249887,14.5276,145276
Kaithal,29.8228207,76.3783099,14.4915,144915
Godhra,22.7785001,73.6245157,14.3644,143644
Bhuj,23.2472446,69.668339,14.3286,143286
Shillong,25.5760446,91.8825282,14.3229,143229
Rewari,28.1956468,76.6165179,14.3021,143021
Hazaribag,24,85.25,14.2489,142489
Bhimavaram,16.5427689,81.527344,14.2184,142184
Mandsaur,24.2627979,75.3858802,14.1667,141667
